Year,Total Live births,Males Live births,Females Live births
1751,18850,9508,9342
1752,19395,9737,9658
1753,19472,9790,9682
1754,20786,10454,10332
1755,21273,10711,10562
1756,21097,10625,10472
1757,20203,10344,9859
1758,20037,10197,9840
1759,21356,10833,10523
1760,22718,11608,11110
1761,22751,11554,11197
1762,20894,10573,10321
1763,21921,11231,10690
1764,23540,11952,11588
1765,22365,11380,10985
1766,21952,11047,10905
1767,21787,11101,10686
1768,23266,11877,11389
1769,23304,11782,11522
1770,22803,11724,11079
1771,21472,10872,10600
1772,21550,10888,10662
1773,22094,11224,10870
1774,23942,12211,11731
1775,24463,12296,12167
1776,23924,12044,11880
1777,24832,12609,12223
1778,26816,13614,13202
1779,27759,14180,13579
1780,27095,13761,13334
1781,25091,12834,12257
1782,27926,14460,13466
1783,26890,13639,13251
1784,28842,14471,14371
1785,27039,13546,13493
1786,27326,13863,13463
1787,28116,14413,13703
1788,25439,12910,12529
1789,24153,12104,12049
1790,26107,13334,12773
1791,25426,12918,12508
1792,30201,15285,14916
1793,32076,16404,15672
1794,30893,15721,15172
1795,32082,16465,15617
1796,30887,15550,15337
1797,32632,16531,16101
1798,31172,15958,15214
1799,31684,16180,15504
1800,31139,15908,15231
1801,33297,16888,16409
1802,33650,17073,16577
1803,30871,15758,15113
1804,34216,17392,16824
1805,34200,17554,16646
1806,32191,16305,15886
1807,32787,16647,16140
1808,27110,13908,13202
1809,24917,12759,12158
1810,34831,17636,17195
1811,31542,16037,15505
1812,41236,20956,20280
1813,38175,19452,18723
1814,39703,20133,19570
1815,40898,20765,20133
1816,42863,21689,21174
1817,43863,22172,21691
1818,43918,22377,21541
1819,41747,21382,20365
1820,42789,21803,20986
1821,49165,25073,24092
1822,42898,21842,21056
1823,49168,24914,24254
1824,46726,23943,22783
1825,48120,24383,23737
1826,47675,24218,23457
1827,47142,24023,23119
1828,51261,26117,25144
1829,51202,26127,25075
1830,48964,25094,23870
1831,48531,24654,23877
1832,47696,24084,23612
1833,41492,21260,20232
1834,50238,25623,24615
1835,47525,24304,23221
1836,43290,21968,21322
1837,44080,22366,21714
1838,44652,22794,21858
1839,47804,24393,23411
1840,49794,25180,24614
1841,49440,25235,24205
1842,54806,27885,26921
1843,53597,27410,26187
1844,53124,26961,26163
1845,54884,28036,26848
1846,51604,26492,25112
1847,53211,27096,26115
1848,58021,29500,28521
1849,60320,30591,29729
1850,58269,29590,28679
1851,62955,32045,30910
1852,58069,29650,28419
1853,58398,29840,28558
1854,62949,32368,30581
1855,60370,30878,29492
1856,61319,31289,30030
1857,55610,28236,27374
1858,62070,31807,30263
1859,61454,31478,29976
1860,63183,32363,30820
1861,66534,34064,32470
1862,66328,33835,32493
1863,64983,33364,31619
1864,71307,36429,34878
1865,62780,32135,30645
1866,58853,30108,28745
1867,59164,30151,29013
1868,43757,22423,21334
1869,58395,30016,28379
1870,63748,32563,31185
1871,66567,33906,32661
1872,66189,33920,32269
1873,68422,35097,33325
1874,70898,36370,34528
1875,69521,35700,33821
1876,70759,35886,34873
1877,74831,38194,36637
1878,70275,36395,33880
1879,76150,38961,37189
1880,74784,38361,36423
1881,72436,37227,35209
1882,76053,39053,37000
1883,76378,38977,37401
1884,78147,40029,38118
1885,75129,38547,36582
1886,78576,40215,38361
1887,81724,41691,40033
1888,80172,40892,39280
1889,77881,40123,37758
1890,77860,40023,37837
1891,82128,42059,40069
1892,76433,39251,37182
1893,73030,37577,35453
1894,76206,39013,37193
1895,81783,41975,39808
1896,81656,41788,39868
1897,82330,42323,40007
1898,89106,45762,43344
1899,88358,45326,43032
1900,86339,44435,41904
1901,88637,45490,43147
1902,87082,44802,42280
1903,85120,43763,41357
1904,90253,46344,43909
1905,87841,44849,42992
1906,91401,46972,44429
1907,92457,47416,45041
1908,92146,47495,44651
1909,95005,48790,46215
1910,92984,47745,45239
1911,91238,47260,43978
1912,92275,47523,44752
1913,87250,45065,42185
1914,87577,45028,42549
1915,83306,42838,40468
1916,79653,40937,38716
1917,81046,41726,39320
1918,79494,40907,38587
1919,63896,33067,30829
1920,84714,43644,41070
1921,82165,42212,39953
1922,80140,41233,38907
1923,81961,42322,39639
1924,78057,40300,37757
1925,78260,40354,37906
1926,76875,39481,37394
1927,75611,38973,36638
1928,77523,39915,37608
1929,76011,38968,37043
1930,75236,38588,36648
1931,71866,37143,34723
1932,69352,35474,33878
1933,65047,33419,31628
1934,67713,34576,33137
1935,69942,36178,33764
1936,68895,35350,33545
1937,72319,37242,35077
1938,76695,39589,37106
1939,78164,39864,38300
1940,65849,33818,32031
1941,89565,46206,43359
1942,61672,31713,29959
1943,76112,39298,36814
1944,79446,40978,38468
1945,95758,49452,46306
1946,106075,54466,51609
1947,108168,55668,52500
1948,107759,55288,52471
1949,103515,53276,50239
1950,98065,50342,47723
1951,93063,47709,45354
1952,94314,48390,45924
1953,90866,46616,44250
1954,89845,45749,44096
1955,89740,46068,43672
1956,88896,45546,43350
1957,86985,44645,42340
1958,81148,41447,39701
1959,83253,42653,40600
1960,82129,42028,40101
1961,81996,41868,40128
1962,81454,41713,39741
1963,82251,42130,40121
1964,80428,41209,39219
1965,77885,39854,38031
1966,77697,39551,38146
1967,77289,39639,37650
1968,73654,37601,36053
1969,67450,34617,32833
1970,64559,33014,31545
1971,61067,31089,29978
1972,58864,30375,28489
1973,56787,29300,27487
1974,62472,31853,30619
1975,65719,33817,31902
1976,66846,34306,32540
1977,65659,33624,32035
1978,63983,32838,31145
1979,63428,32223,31205
1980,63064,32349,30715
1981,63469,32453,31016
1982,66106,34005,32101
1983,66892,34194,32698
1984,65076,33230,31846
1985,62796,32012,30784
1986,60632,31035,29597
1987,59827,30631,29196
1988,63316,32373,30943
1989,63348,32402,30946
1990,65549,33539,32010
1991,65395,33261,32134
1992,66731,34147,32584
1993,64826,33001,31825
1994,65231,33180,32051
1995,63067,32210,30857
1996,60723,31142,29581
1997,59329,30144,29185
1998,57108,29133,27975
1999,57574,29400,28174
2000,56742,29250,27492
2001,56189,28701,27488
2002,55555,28563,26992
2003,56630,28839,27791
2004,57758,29684,28074
2005,57745,29400,28345
2006,58840,30005,28835
2007,58729,30136,28593
2008,59530,30415,29115
2009,60430,30795,29635
2010,60980,31309,29671
2011,59961,30546,29415
2012,59493,30308,29185
2013,58134,29858,28276
2014,57232,29272,27960
2015,55472,28469,27003
2016,52814,26812,26002
2017,50321,25674,24647
2018,47577,24630,22947
2019,45613,23186,22427
2020,46463,23778,22685
2021,49594,25287,24307
2022,44951,22960,21991
2023,43383,22273,21110
2024,43720,22464,21256
