Year,Quantity_(GWh)
1960,8789
1961,10448
1962,11515
1963,11915
1964,13157
1965,14242
1966,15410
1967,16394
1968,17645
1969,19460
1970,21817
1971,23623
1972,26754
1973,29482
1974,29735
1975,29176
1976,31954
1977,32581
1978,35297
1979,37986
1980,39921
1981,41359
1982,41669
1983,45125
1984,48441
1985,52043
1986,52723
1987,56442
1988,58652
1989,60022
1990,62334
1991,62288
1992,63197
1993,65545
1994,68258
1995,68947
1996,70019
1997,73604
1998,76631
1999,77780
2000,79169
2001,81197
2002,83556
2003,85247
2004,87057
2005,84684
2006,90042
2007,90388
2008,87267
2009,81311
2010,87726
2011,84271
2012,85157
2013,84069
2014,83425
2015,82493
2016,85155
2017,85467
2018,87467
2019,86092
2020,81701
2021,87092
2022,81660
2023,80007
