Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MA0 WHOLE COUNTRY,4998478,5029002,5054982,5077912,5098754,5116826,5132320,5147349,5159646,5171302,5181115,5194901,5206295,5219732,5236611,5255580,5276955,5300484,5326314,5351427,5375276,5401267,5426674,5451270,5471753,5487308,5503297,5513130,5517919,5525292,5533793,5548241,5563970,5603851
MA1 MAINLAND FINLAND,4973874,5004155,5029989,5052810,5073596,5091624,5107063,5121957,5134021,5145596,5155339,5168893,5180038,5193385,5210081,5228814,5250032,5273331,5298858,5323693,5347269,5372913,5398173,5422604,5442837,5458325,5474083,5483641,5488130,5495408,5503664,5517897,5533611,5573310
MA2 Åland,24604,24847,24993,25102,25158,25202,25257,25392,25625,25706,25776,26008,26257,26347,26530,26766,26923,27153,27456,27734,28007,28354,28501,28666,28916,28983,29214,29489,29789,29884,30129,30344,30359,30541
MK01 Uusimaa,1232236,1248072,1261807,1277609,1293573,1310680,1327243,1344989,1362634,1379712,1394199,1408525,1419938,1429869,1439400,1452083,1467453,1483719,1501511,1517542,1532309,1549058,1566835,1585473,1603388,1620261,1638293,1655624,1671024,1689725,1702678,1714741,1733033,1759537
MK02 Southwest Finland,425282,427158,428864,430409,432603,435119,437491,439973,443050,445542,447103,449293,450968,452444,453745,455584,457789,459235,461177,462914,465183,467217,468936,470880,472725,474323,475543,477677,478582,479341,481403,483477,485567,490786
MK04 Satakunta,240777,240767,240744,240519,240028,239255,238057,236818,235662,234233,232569,231307,230480,229910,229389,228675,228051,227131,226358,226116,225762,225302,224934,224556,223983,222957,221740,220398,218624,216752,215416,214281,212556,211740
MK05 Kanta-Häme,162248,163442,164363,164767,164957,164937,164892,165026,164914,165190,165307,165509,165886,166648,167630,168381,169952,171449,173041,173828,174555,175230,175472,175481,175350,174710,173781,172720,171364,170925,170577,170213,169537,169547
MK06 Pirkanmaa,430651,432391,434066,435789,438114,440734,443065,445536,448045,450548,453319,456934,460103,463330,467424,471409,476221,480634,484638,488295,491746,495242,499006,502575,505756,508448,511642,514333,517333,519872,522852,527478,532671,539309
MK07 Päijät-Häme,204901,205613,206107,206233,206171,205973,205394,205338,205030,204858,204912,205071,205464,205755,206021,206240,206481,207269,207940,208331,208777,209238,209503,209405,208959,208525,208574,208048,207394,206315,205771,205124,204528,204479
MK08 Kymenlaakso,186030,186322,186382,186054,185462,184595,183819,182942,182215,181122,179940,179292,178735,178341,178205,177931,176995,176356,175661,175556,175377,174827,174466,173864,172908,171778,170770,168691,166623,164456,162812,161391,159488,158658
MK09 South Karelia,140244,140150,139907,139569,139297,138678,138163,137944,137238,136525,136299,136161,135840,135458,134962,134786,134441,133899,133647,133210,132899,132527,132355,132252,131764,131155,130506,129865,128756,127757,126921,126107,125353,125162
MK10 South Savo,163462,163426,163503,163130,162691,162033,161128,160077,158725,157334,156117,154978,153864,152965,152171,151395,150471,149032,147892,146979,146166,145353,144393,143638,142746,141621,140422,138822,136474,134314,132702,131688,130451,129914
MK11 North Savo,265040,266039,266853,266956,266870,266308,265644,264578,262946,261393,259639,258664,257728,257079,256740,255683,255094,254367,253899,253605,253337,253472,253524,253643,253585,253239,252815,251570,250414,249003,248265,248363,247689,248190
MK12 North Karelia,182200,182707,183151,183293,183038,182336,181160,179977,178441,177238,176187,175322,174236,173580,173018,172633,171758,170896,170194,169937,169778,169733,169496,169112,168896,168329,167599,166441,165569,164465,163537,163281,162540,162321
MK13 Central Finland,254539,256480,257719,258485,259392,259778,260835,261559,261754,262106,262710,263574,263889,264936,266047,266770,266905,267998,269108,270195,271083,271874,272723,272911,272986,273446,273910,273779,273283,272898,272617,272683,272437,273271
MK14 South Ostrobothnia,207010,207348,207742,207862,207514,206136,205108,203907,202935,202002,200766,199639,199190,199019,199150,198856,198626,198831,198502,198477,198469,198671,198944,198831,198242,197371,196572,195583,194316,193207,192150,191762,190774,190539
MK15 Ostrobothnia,167108,167807,168379,168698,168833,168888,169019,168964,168867,168326,168077,167986,167921,168046,168361,168583,169170,169971,170994,172085,172981,174170,174777,175530,176314,176894,176729,176272,176193,175923,175816,176041,176323,177602
MK16 Central Ostrobothnia,68214,68503,68887,69315,69627,69539,69213,69021,68773,68345,68052,67671,67497,67441,67369,67612,67632,67898,67991,68131,68321,68484,68610,68677,68832,69032,69027,68780,68437,68158,67988,67915,67805,67736
MK17 North Ostrobothnia,350799,354088,357072,359433,361751,364443,366218,367361,368302,369827,372639,375182,377045,378903,381792,384808,387320,390038,392652,395510,398335,401201,403920,406480,408536,410054,411150,411856,412161,412830,413830,415603,416543,418205
MK18 Kainuu,92459,92190,92010,91794,91350,90781,90035,88896,87843,86943,85736,84497,83477,82744,82214,81585,80738,80218,79690,79234,78703,77984,77435,76782,76119,75324,74803,73959,73061,72306,71664,71255,70521,70164
MK19 Lapland,200674,201652,202433,202895,202325,201411,200579,199051,196647,194352,191768,189288,187777,186917,186443,185800,184935,184390,183963,183748,183488,183330,182844,182514,181748,180858,180207,179223,178522,177161,176665,176494,175795,176150
MK21 Åland,24604,24847,24993,25102,25158,25202,25257,25392,25625,25706,25776,26008,26257,26347,26530,26766,26923,27153,27456,27734,28007,28354,28501,28666,28916,28983,29214,29489,29789,29884,30129,30344,30359,30541
